ID_Libro,Titulo,Autor-a,Año,Categoria_Principal,Enfoque_Especifico,Tipo_Documento,Etiquetas,ID_Drive,Link_Previsualizacion,Link_Descarga
LIB-019,LA NECESIDAD DE SALVACIÓN EN LA SOCIEDAD CONTEMPORÁNEA. CUATRO PROPUESTAS,Jaime Vilarroig Martín,2023,Sociologia,Sociologia,Articulo,,,,
LIB-020,ACELERACIONISMO Estrategias para una transición hacia el postcapitalismo,Varios Autores,2017,Filosofia,Filosofia,Documento Completo,,,,
LIB-021,Artes vivas,Rolf E Abderhalden Cortés,-,Artes Escénicas,Teatro,Articulo,Teatro,,,
LIB-022,Bajo El Sol de Satanas,Georges Bernanos,1926,Literatura,Literatura,Documento Completo,,,,
LIB-023,DOS POEMAS DE ALVARO MUTIS,Alvaro Mutis,-,Literatura,Poesia,Documento Completo,Poesía,,,
LIB-024,CINE BRECHTIANO Y DECOLONIALIDAD: DE GODARD A ROCHA,Anxo ABUÍN GONZÁLEZ,2024,Cine,Cine,Articulo,,,,
LIB-025,Tristes trópicos,Claude Lévi-Strauss ,1955,Antropologia,Antropologia,Documento Completo,,,,
LIB-026,Con oda a lo efimero,Vicente Ruiz,2000,Arte,Arte,Periodico,,,,
LIB-027,Crónicas de Bogotá II,Pedro M Ibañez,1951,Historia,Historia,Documento Completo,,,,
LIB-028,Cuando éramos más nükák”. Aproximaciones a la percepción nükák de la fotografía,Gabriela Díaz MontealeGre,2013,Antropologia,Antropologia,Articulo,,,,
LIB-029,La ruina efímera: Artefacto y posibilidad en la construcción de Ciudad con Sentido de Lugar,David Hernando Barbosa Ramírez,2018,Urbanismo,Urbanismo,Tesis,,,,
LIB-030,"Cada vez única, el fin del mundo",Jacques Derrida,2003,Filosofia,Filosofia,Documento Completo,,,,
LIB-031,Actas del coloquio La historia en el cine chileno de ficción,Varios Autores,2014,Cine,Cine,Documento Completo,,,,
LIB-032,"Sobre Bellour, Raymond. Entre imágenes",Eduardo A. Russo,2009,Arte,Teoría del Arte,Articulo,Teoría del Arte,,,
LIB-033,El cuerpo por sí mismo. De la fenomenología del cuerpo a la ontología del ser corporal,Mario Teodoro Ramírez Cobián,2017,Filosofia,Filosofia,Articulo,,,,
LIB-034,EL PAISAJISMO OBSERVACIONAL DE JAMES BENNING: LA REPRESENTACIÓN DE LOS ANGELES EN LOS (2000),Iván Villarmea Álvarez,2014,Cine,Cine,Articulo,,,,
LIB-035,¿Empobrecimiento o desclasamiento? La dimensión simbólica de la desigualdad social,Cecilia JIMÉNEZ ZUNINO,2011,Sociologia,Sociologia,Articulo,,,,
